pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_bmassj,pl_dens,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_logg,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
TOI-2669 b,1,1,Transit,2022,<a refstr=GRUNBLATT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..120G/abstract target=ref>Grunblatt et al. 2022</a>,6.20340000,,1.760,0.61000,0.61000,,,,2458521.598000,,,4800.00,4.10,1.19,3.29,0.0254,08h58m53.43s,134.7226445,-13d18m45.29s,-13.3125792,393.4430000,10.9160000
TOI-1064 b,1,2,Transit,2022,<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,6.44386800,0.061520,0.231,0.04248,0.04248,4.30062,784,87.709,2459036.853400,0.106700,1.9800000,4734.00,0.73,0.75,4.60,2.7069,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726000,10.9380000
TOI-451 b,2,3,Transit,2020,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,1.85870300,0.028300,0.170,,,,1491,88.200,2458410.990000,0.039600,2.0376000,5550.00,0.88,0.95,,1.8240,04h11m51.93s,62.9663850,-37d56m23.03s,-37.9397300,123.7390000,10.9390000
TOI-451 c,2,3,Transit,2020,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,9.19252200,0.082300,0.277,,,,875,89.610,2458411.795600,0.104800,3.5592000,5550.00,0.88,0.95,,1.8240,04h11m51.93s,62.9663850,-37d56m23.03s,-37.9397300,123.7390000,10.9390000
HIP 65 A b,2,1,Transit,2020,<a refstr=PAREDES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..176P/abstract target=ref>Paredes et al. 2021</a>,0.98100000,0.017000,,,2.95000,,,,,,,,,0.74,,,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,61.7856000,11.0000000
HIP 65 A b,2,1,Transit,2020,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,0.98097340,0.017820,2.030,3.21300,3.21300,0.48000,1411,77.180,2458326.104180,8.200000,0.7857600,4590.00,0.72,0.78,4.61,2.8980,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,61.7856000,11.0000000
L 168-9 b,1,1,Transit,2020,<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>,1.40150000,0.020910,0.124,0.01447,0.01447,9.60000,965,85.500,2458340.047810,,,3800.00,0.60,0.62,4.04,,23h20m06.86s,350.0285917,-60d03m56.63s,-60.0657292,25.1496000,11.0050000
L 168-9 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,1.40152720,,,,,,,,2459082.857000,,,3800.00,0.60,0.62,4.04,,23h20m06.86s,350.0285917,-60d03m56.63s,-60.0657292,25.1496000,11.0050000
TOI-905 b,1,1,Transit,2020,<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,3.73949400,0.046660,1.171,0.66700,0.66700,0.51500,1192,85.680,2458643.308980,1.718000,2.0280000,5570.00,0.92,0.97,4.50,1.7600,15h10m38.08s,227.6586754,-71d21m41.87s,-71.3616316,158.6490000,11.0800000
TOI-905 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,3.73949300,,,,,,,,2458639.569770,,,5570.00,0.92,0.97,4.50,1.7600,15h10m38.08s,227.6586754,-71d21m41.87s,-71.3616316,158.6490000,11.0800000
TOI-559 b,1,1,Transit,2021,<a refstr=IKWUT_UKWA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163....9I/abstract target=ref>Ikwut-Ukwa et al. 2022</a>,6.98390950,0.072300,1.091,6.01000,6.01000,5.74000,1180,89.080,2458893.813050,0.827600,5.1502000,5925.00,1.23,1.03,4.27,0.7740,03h07m16.47s,46.8186159,-31d09m46.78s,-31.1629951,233.2660000,11.0910000
TOI-564 b,1,1,Transit,2020,<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,1.65114400,0.027340,1.020,1.46300,1.46300,1.70000,1714,78.380,2458549.575540,0.920000,1.0272000,5640.00,1.09,1.00,4.36,1.0950,08h41m10.84s,130.2951535,-16d02m10.78s,-16.0363275,199.5810000,11.0970000
K2-370 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2.14084000,,0.286,,,,,,2457822.184000,,,5377.00,0.97,0.98,4.45,,04h31m16.93s,67.8205302,+19d49m54.08s,19.8316901,144.2020000,11.1090000
K2-370 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,2.14084000,,0.286,,,,,,2457822.184012,,1.9000000,5377.00,0.97,0.98,4.45,,04h31m16.93s,67.8205302,+19d49m54.08s,19.8316901,144.2020000,11.1090000
K2-352 b,1,3,Transit,2021,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,3.66591200,,0.122,,,,1160,,2458098.635282,,1.6300000,5791.00,0.95,0.98,4.47,,09h21m46.84s,140.4451478,+18d28m10.66s,18.4696280,176.0510000,11.1250000
TOI-132 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,2.10969350,,,,,,,,2459084.282280,,,5397.00,0.90,0.97,4.48,1.8900,22h33m35.92s,338.3996623,-43d26m12.74s,-43.4368720,163.6780000,11.1970000
TOI-132 b,1,1,Transit,2020,<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..973D/abstract target=ref>D&iacute;az et al. 2020</a>,2.10970190,0.026000,0.305,0.07048,0.07048,3.08000,1395,85.030,2458333.230950,,,5397.00,0.90,0.97,4.48,1.8900,22h33m35.92s,338.3996623,-43d26m12.74s,-43.4368720,163.6780000,11.1970000
TOI-2411 b,1,1,Transit,2022,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.78269420,0.014400,0.150,,,,1355,,2459116.013900,,,4099.00,0.68,0.65,4.59,,01h23m41.39s,20.9224567,-08d42m06.46s,-8.7017944,59.5362000,11.2720000
K2-331 b,1,2,Transit,2021,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,9.39897700,,0.160,,,,909,,2458100.920192,,3.9200000,5994.00,1.06,1.10,4.43,,08h50m57.03s,132.7376431,+13d10m12.97s,13.1702690,211.4300000,11.3050000
TOI-824 b,1,1,Transit,2020,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..153B/abstract target=ref>Burt et al. 2020</a>,1.39297800,0.021770,0.261,0.05810,0.05810,4.03000,1253,83.650,2458639.603540,0.149000,1.1534400,4600.00,0.69,0.71,4.61,2.9800,14h48m39.71s,222.1654705,-57d35m19.92s,-57.5888666,63.9262000,11.3140000
TOI-824 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,1.39298000,,,,,,,,2458652.140330,,,4600.00,0.69,0.71,4.61,2.9800,14h48m39.71s,222.1654705,-57d35m19.92s,-57.5888666,63.9262000,11.3140000
GJ 486 b,1,1,Radial Velocity,2021,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...371.1038T/abstract target=ref>Trifonov et al. 2021</a>,1.46711900,0.017340,0.116,0.00887,0.00887,7.00000,701,88.400,2458931.159350,,,3340.00,0.33,0.32,,,12h47m55.57s,191.9815310,+09d44m57.91s,9.7494181,8.0742600,11.3900000
EPIC 249893012 b,1,3,Transit,2020,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,3.59510000,0.047000,0.174,0.02753,0.02753,6.39000,1616,86.140,2457994.396000,,4.3300000,5430.00,1.71,1.05,3.99,0.2980,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.2960000,11.4290000
GJ 480 b,1,1,Radial Velocity,2020,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..250...29F/abstract target=ref>Feng et al. 2020</a>,9.56700000,0.068000,,,0.04153,,,,,,,,,0.45,,,12h38m51.22s,189.7134226,+11d41m42.25s,11.6950708,14.2358000,11.4900000
TOI-776 b,1,2,Transit,2020,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,8.24661000,0.065200,0.165,0.01259,0.01259,3.40000,514,89.650,2458571.416700,0.106300,2.4100000,3709.00,0.54,0.54,4.73,6.0240,11h54m18.72s,178.5779970,-37d33m12.08s,-37.5533568,27.1701000,11.5360000
TOI-1130 b,1,2,Transit,2020,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,4.06649900,0.043940,0.326,,,,810,87.980,2458658.746270,,2.3000000,4250.00,0.69,0.68,4.60,2.9700,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,11.5950000
TOI-1130 c,1,2,Transit,2020,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,8.35038100,0.070980,1.500,0.97400,0.97400,0.38000,637,87.430,2458657.904610,,2.0200000,4250.00,0.69,0.68,4.60,2.9700,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,11.5950000
K2-380 b,1,1,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,9.40172000,,0.175,,,,,,2457302.934300,0.027500,2.1120000,,1.13,,,,18h53m44.31s,283.4346389,-26d32m19.43s,-26.5387308,249.3030000,11.6880000
K2-380 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,9.40131200,,0.243,,,,,,2457302.935400,,,5911.00,1.32,0.99,4.19,,18h53m44.31s,283.4346389,-26d32m19.43s,-26.5387308,249.3030000,11.6880000
TOI-833 b,1,1,Transit,2022,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,1.04187770,0.017100,0.113,,,,1118,,2458597.256000,,,3920.00,0.60,0.61,4.67,,09h42m34.91s,145.6454720,-62d28m33.19s,-62.4758857,41.7148000,11.7240000
CoRoT-7 d,1,3,Radial Velocity,2022,<a refstr=JOHN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1794J/abstract target=ref>John et al. 2022</a>,8.96600000,,,,0.05393,,,,,,,5250.00,,0.92,,,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.9060000,11.7280000
EPIC 201595106 b,1,1,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.87721400,,0.116,,,,,89.200,2457608.489620,,,5820.00,0.93,,4.60,,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1000000,11.7460000
EPIC 201595106 b,1,1,Transit,2021,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,0.87703000,,0.110,,,,1874,,2457583.051300,0.025000,1.0008000,5711.17,0.99,1.02,4.45,1.4754,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1000000,11.7460000
EPIC 201595106 b,1,1,Transit,2021,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,0.87718300,,0.130,,,,,84.701,2457583.045380,,,5705.00,0.93,,4.48,,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1000000,11.7460000
K2-369 b,1,1,Transit,2022,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,5.76135900,,0.120,,,,,88.337,2456979.869850,,,5744.00,0.90,,4.57,,21h58m54.30s,329.7262534,-10d52m30.24s,-10.8750666,185.5500000,11.7890000
K2-369 b,1,1,Transit,2022,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.76218000,,0.109,,,,,,2456979.868800,0.017400,2.2320000,,0.87,,,,21h58m54.30s,329.7262534,-10d52m30.24s,-10.8750666,185.5500000,11.7890000
K2-369 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,5.76161200,,0.117,,,,,,2456979.871600,,,5682.00,0.88,0.73,4.42,,21h58m54.30s,329.7262534,-10d52m30.24s,-10.8750666,185.5500000,11.7890000
K2-369 b,1,1,Transit,2022,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,5.76192480,,0.122,,,,,,2456979.866000,0.022600,2.2000000,5350.00,0.83,,,,21h58m54.30s,329.7262534,-10d52m30.24s,-10.8750666,185.5500000,11.7890000
K2-389 b,1,2,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,8.58404300,,0.195,,,,,,2457742.782000,,,5782.00,1.08,0.80,4.27,,23h42m31.30s,355.6304152,-09d42m48.89s,-9.7135814,259.2080000,11.8270000
K2-389 b,1,2,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,8.58356600,,0.189,,,,,,2457742.784459,,3.1000000,5782.00,1.08,0.80,4.27,,23h42m31.30s,355.6304152,-09d42m48.89s,-9.7135814,259.2080000,11.8270000
K2-397 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,3.57232600,,0.216,,,,,,2457823.575146,,1.3000000,5387.00,0.97,0.94,4.43,,05h19m48.40s,79.9516586,+21d15m32.98s,21.2591617,199.3540000,11.8650000
K2-397 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,3.57232600,,0.216,,,,,,2457823.575100,,,5387.00,0.97,0.94,4.43,,05h19m48.40s,79.9516586,+21d15m32.98s,21.2591617,199.3540000,11.8650000
WASP-132 c,1,2,Transit,2022,<a refstr=HORD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220502501H/abstract target=ref>Hord et al. 2022</a>,1.01153400,0.018200,0.165,0.11752,0.11752,,,86.640,2458597.576200,,1.4700000,4714.00,0.75,0.78,4.58,1.8100,14h30m26.21s,217.6091998,-46d09m34.26s,-46.1595160,122.9100000,11.9380000
TOI-178 b,1,6,Transit,2021,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,1.91455800,0.026070,0.103,0.00472,0.00472,5.40000,1040,88.800,2458741.636500,0.026300,1.6920000,4316.00,0.65,0.65,4.45,3.3100,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000
TOI-178 c,1,6,Transit,2021,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,3.23845000,0.037000,0.149,0.01501,0.01501,5.62000,873,88.400,2458741.478300,0.055100,1.9500000,4316.00,0.65,0.65,4.45,3.3100,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000
TOI-178 d,1,6,Transit,2021,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,6.55770000,0.059200,0.229,0.00947,0.00947,0.97600,690,88.580,2458747.146230,0.131300,2.3460000,4316.00,0.65,0.65,4.45,3.3100,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000
TOI-178 e,1,6,Transit,2021,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,9.96188100,0.078300,0.197,0.01214,0.01214,1.98000,600,88.710,2458751.465800,0.096800,2.5010000,4316.00,0.65,0.65,4.45,3.3100,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000
HATS-38 b,1,1,Transit,2020,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..222J/abstract target=ref>Jord&aacute;n et al. 2020</a>,4.37502100,0.050360,0.614,0.07400,0.07400,0.40300,1294,87.210,2457725.160420,,3.2160000,5732.00,1.10,0.89,4.30,,10h17m05.05s,154.2710615,-25d16m34.67s,-25.2762982,343.5250000,11.9670000
K2-407 b,1,2,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,4.94190700,,0.114,,,,,,2457993.510100,,,5563.00,0.93,0.88,4.45,,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.3760000,11.9690000
K2-407 b,1,2,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4.94190700,,0.114,,,,,,2457993.510086,,2.9000000,5563.00,0.93,0.88,4.45,,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.3760000,11.9690000
K2-407 c,1,2,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,9.22453000,,0.121,,,,,,2457997.654457,,3.7000000,5563.00,0.93,0.88,4.45,,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.3760000,11.9690000
K2-407 c,1,2,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,9.22453000,,0.121,,,,,,2457997.654500,,,5563.00,0.93,0.88,4.45,,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.3760000,11.9690000
TOI-849 b,1,1,Transit,2020,<a refstr=ARMSTRONG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.583...39A/abstract target=ref>Armstrong et al. 2020</a>,0.76552414,0.015980,0.307,0.12299,0.12299,5.20000,,86.800,2458394.737680,,1.5700000,5373.80,0.92,0.93,4.48,1.6850,01h54m51.79s,28.7157956,-29d25m18.15s,-29.4217086,225.7340000,11.9810000
TOI-942 b,3,2,Transit,2020,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.32419000,0.047960,0.429,2.60000,2.60000,,,89.970,2458441.576200,,3.4032000,4928.00,1.02,0.79,4.31,,05h06m35.91s,76.6496172,-20d14m44.21s,-20.2456126,152.6010000,11.9820000
TOI-942 b,3,2,Transit,2020,<a refstr=CARLEO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..71C/abstract target=ref>Carleo et al. 2021</a>,4.32630000,0.049800,0.378,0.05034,0.05034,,,88.600,2458441.571389,,2.7610000,4969.00,0.89,0.88,,1.6340,05h06m35.91s,76.6496172,-20d14m44.21s,-20.2456126,152.6010000,11.9820000
WASP-176 b,1,1,Transit,2020,<a refstr=COOKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..255C/abstract target=ref>Cooke et al. 2020</a>,3.89905200,0.053500,1.505,0.85500,0.85500,0.31000,1721,86.700,2458234.177100,0.640000,5.1528000,5941.00,1.93,1.34,4.00,0.3710,20h54m44.95s,313.6872928,+09d10m44.65s,9.1790688,568.4200000,12.0060000
LHS 1815 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,3.81429070,,,,,,,,2459250.475700,,,3643.00,0.50,0.50,4.77,5.6000,06h04m21.60s,91.0899861,-55d18m41.54s,-55.3115376,29.8424000,12.1670000
LHS 1815 b,1,1,Transit,2020,<a refstr=GAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..160G/abstract target=ref>Gan et al. 2020</a>,3.81433000,0.040400,0.097,0.02737,0.02737,,617,88.125,2458327.416100,,,3643.00,0.50,0.50,4.77,5.6000,06h04m21.60s,91.0899861,-55d18m41.54s,-55.3115376,29.8424000,12.1670000
TOI-2184 b,1,1,Transit,2022,<a refstr=SAUNDERS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...53S/abstract target=ref>Saunders et al. 2022</a>,6.90683000,,1.017,0.65000,0.65000,0.76000,,,2458332.126000,,6.7800000,5966.00,2.90,1.53,3.70,0.0890,06h43m19.95s,100.8331246,-66d56m51.56s,-66.9476563,788.3170000,12.2540000
TOI-1201 b,2,1,Transit,2021,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,2.49198630,0.028700,0.215,0.01976,0.01976,2.45000,703,88.110,2459169.232220,,1.7470000,3476.00,0.51,0.51,4.80,5.5000,02h48m59.45s,42.2476999,-14d32m14.22s,-14.5372835,37.8871000,12.2600000
TOI-620 b,1,1,Transit,2022,<a refstr=REEFE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220403108R/abstract target=ref>Reefe et al. 2022</a>,5.09881790,0.048250,0.335,,,,604,87.470,2458992.197240,0.393000,1.3600000,3708.00,0.55,0.58,4.72,4.8900,09h28m41.63s,142.1734459,-12d10m01.79s,-12.1671652,33.0231000,12.2620000
HATS-72 b,1,1,Transit,2020,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,7.32794740,0.066517,0.722,0.12540,0.12540,0.41100,739,89.560,2458087.647820,,3.0847200,4656.10,0.72,0.73,4.59,2.7430,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,127.5890000,12.3240000
HATS-37 A b,2,1,Transit,2020,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..222J/abstract target=ref>Jord&aacute;n et al. 2020</a>,4.33153660,0.049130,0.606,0.09900,0.09900,0.55000,1085,89.330,2458006.801450,,2.9136000,5326.00,0.88,0.84,4.48,,13h19m12.44s,199.8018300,-22d59m12.64s,-22.9868431,211.8960000,12.3410000
TOI-169 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,2.25544580,,,,,,,,2459085.271570,,,5880.00,1.29,1.15,4.28,0.7560,01h07m06.89s,16.7786879,-75d11m56.20s,-75.1989452,407.8400000,12.3550000
TOI-169 b,1,1,Transit,2020,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.25544770,0.035240,1.086,0.79100,0.79100,0.76000,1715,80.980,2458327.441740,0.750000,1.7064000,5880.00,1.29,1.15,4.28,0.7560,01h07m06.89s,16.7786879,-75d11m56.20s,-75.1989452,407.8400000,12.3550000
NGTS-12 b,1,1,Transit,2020,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,7.53280600,0.075700,1.048,0.20800,0.20800,0.22300,1257,88.900,2458572.854900,,5.8500000,5690.00,1.59,1.02,4.04,0.3590,11h44m59.99s,176.2499418,-35d38m26.03s,-35.6405630,446.4420000,12.3820000
K2-399 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.75997800,,0.540,,,,,,2457906.219100,,,5690.00,1.54,0.78,3.96,,10h32m17.63s,158.0734448,+02d14m16.24s,2.2378452,515.4910000,12.4780000
K2-399 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,0.75997800,,0.540,,,,,,2457906.219131,,1.1000000,5690.00,1.54,0.78,3.96,,10h32m17.63s,158.0734448,+02d14m16.24s,2.2378452,515.4910000,12.4780000
LP 714-47 b,1,1,Transit,2020,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,4.05203700,0.041700,0.419,0.09691,0.09691,1.70000,700,87.300,,,,3950.00,0.58,0.59,4.64,,04h16m45.65s,64.1902212,-12d05m05.51s,-12.0848643,52.6160000,12.4920000
